"Abbey","ArchitecturalStructure Building Location Monastery Place ReligiousBuilding"
"AcademicConference","Event PenaltyShootOut SocietalEvent"
"AcademicJournal","PeriodicalLiterature Work WrittenWork"
"AcademicSubject","Genre GovernmentType MusicGenre TopicalConcept Type"
"Activity",""
"Actor","Artist Person"
"AdministrativeRegion","Location Place PopulatedPlace Region"
"AdultActor","Actor Artist Person"
"Agglomeration","Location Place PopulatedPlace"
"Aircraft","Automobile Locomotive MeanOfTransportation MilitaryVehicle Ship"
"Airline","Company Organisation"
"Airport","ArchitecturalStructure Infrastructure Location Place"
"Album","MusicalWork Work"
"Altitude",""
"AmateurBoxer","Athlete Boxer Person"
"Ambassador","Person"
"AmericanFootballCoach","Coach Person"
"AmericanFootballLeague","Organisation SportsLeague"
"AmericanFootballPlayer","Athlete GridironFootballPlayer Person"
"AmericanFootballTeam","Organisation SportsTeam"
"Amphibian","Animal Eukaryote Species"
"AmusementParkAttraction","ArchitecturalStructure Location Place"
"AnatomicalStructure",""
"Animal","Eukaryote Species"
"AnimangaCharacter","ComicsCharacter FictionalCharacter Person"
"Anime","Cartoon Work"
"Annotation","Work WrittenWork"
"Arachnid","Animal Eukaryote Species"
"Archaea","Species"
"Archeologist","Person"
"ArcherPlayer","Athlete Person"
"Archipelago","Location NaturalPlace Place"
"Architect","Person"
"ArchitecturalStructure","Location Place"
"Archive","CollectionOfValuables Work"
"Area",""
"Arena","ArchitecturalStructure Location Place SportFacility Stadium"
"Aristocrat","Person"
"Arrondissement","AdministrativeRegion GovernmentalAdministrativeRegion Location Place PopulatedPlace Region"
"Artery","AnatomicalStructure"
"Article","Work WrittenWork"
"ArtificialSatellite","CelestialBody Location Place Satellite"
"Artist","Person"
"ArtistDiscography","MusicalWork Work"
"ArtisticGenre","Genre GovernmentType MusicGenre TopicalConcept Type"
"Artwork","Work"
"Asteroid","CelestialBody Location Place"
"Astronaut","Person"
"Athlete","Person"
"Athletics","Activity Sport"
"AthleticsPlayer","Athlete Person"
"Atoll","Island Location Place PopulatedPlace"
"Attack","Event PenaltyShootOut SocietalEvent"
"AustralianFootballLeague","Organisation SportsLeague"
"AustralianFootballTeam","Organisation SportsTeam"
"AustralianRulesFootballPlayer","Athlete Person"
"AutoRacingLeague","Organisation SportsLeague"
"Automobile","Aircraft Locomotive MeanOfTransportation MilitaryVehicle Ship"
"AutomobileEngine","Device Engine"
"Award",""
"BackScene","Artist MusicalArtist Person"
"Bacteria","Species"
"BadmintonPlayer","Athlete Person"
"Band","Group Organisation"
"Bank","Company Organisation"
"Baronet","BritishRoyalty Person Royalty"
"BaseballLeague","Organisation SportsLeague"
"BaseballPlayer","Athlete Person"
"BaseballSeason","SportsSeason SportsTeamSeason"
"BaseballTeam","Organisation SportsTeam"
"BasketballLeague","Organisation SportsLeague"
"BasketballPlayer","Athlete Person"
"BasketballTeam","Organisation SportsTeam"
"Bay","BodyOfWater Location NaturalPlace Place"
"Beach","Location NaturalPlace Place"
"BeachVolleyballPlayer","Athlete Person VolleyballPlayer"
"BeautyQueen","Person"
"Beer","Beverage Food"
"Beverage","Food"
"Biathlete","Athlete Person WinterSportPlayer"
"BiologicalDatabase","Database Work"
"Biologist","Person Scientist"
"Biomolecule",""
"Bird","Animal Eukaryote Species"
"Birth","Event LifeCycleEvent PenaltyShootOut PersonalEvent"
"Blazon",""
"BloodVessel","AnatomicalStructure"
"BoardGame","Activity Game"
"BobsleighAthlete","Athlete Person WinterSportPlayer"
"BodyOfWater","Location NaturalPlace Place"
"Bodybuilder","Athlete Person"
"Bone","AnatomicalStructure"
"Book","Work WrittenWork"
"BowlingLeague","Organisation SportsLeague"
"Boxer","Athlete Person"
"Boxing","Activity Sport"
"BoxingCategory","Activity Boxing Sport"
"BoxingLeague","Organisation SportsLeague"
"BoxingStyle","Activity Boxing Sport"
"Brain","AnatomicalStructure"
"Brewery","Company Organisation"
"Bridge","ArchitecturalStructure Infrastructure Location Place RouteOfTransportation"
"BritishRoyalty","Person Royalty"
"BroadcastNetwork","Broadcaster Organisation"
"Broadcaster","Organisation"
"BrownDwarf","CelestialBody Location Place Star"
"Building","ArchitecturalStructure Location Place"
"BullFighter","Athlete Person"
"BusCompany","Company Organisation"
"BusinessPerson","Person"
"Camera","Device"
"CanadianFootballLeague","Organisation SportsLeague"
"CanadianFootballPlayer","AmericanFootballPlayer Athlete GridironFootballPlayer Person"
"CanadianFootballTeam","Organisation SportsTeam"
"Canal","BodyOfWater Location NaturalPlace Place Stream"
"Canoeist","Athlete Person"
"Canton","AdministrativeRegion GovernmentalAdministrativeRegion Location Place PopulatedPlace Region"
"Cape","Location NaturalPlace Place"
"Capital","City Location Place PopulatedPlace Settlement"
"CapitalOfRegion","City Location Place PopulatedPlace Settlement"
"CardGame","Activity Game"
"Cardinal","Cleric Person"
"CardinalDirection","Genre GovernmentType MusicGenre TopicalConcept Type"
"CareerStation","TimePeriod"
"Cartoon","Work"
"Case","Activity LegalCase Sales UnitOfWork"
"Casino","ArchitecturalStructure Building Location Place"
"Castle","ArchitecturalStructure Building Location Place"
"Cat","Animal Eukaryote Mammal Species"
"Caterer","Company Organisation"
"Cave","Location NaturalPlace Place"
"Celebrity","Person"
"CelestialBody","Location Place"
"Cemetery","Location Place"
"Chancellor","Person Politician"
"ChartsPlacements",""
"Cheese","Food"
"Chef","Person"
"ChemicalCompound","ChemicalSubstance"
"ChemicalElement","ChemicalSubstance"
"ChemicalSubstance",""
"ChessPlayer","Athlete Person"
"ChristianBishop","Cleric Person"
"ChristianDoctrine","Genre GovernmentType MusicGenre TheologicalConcept TopicalConcept Type"
"ChristianPatriarch","Cleric Person"
"Church","ArchitecturalStructure Building Location Place ReligiousBuilding"
"City","Location Place PopulatedPlace Settlement"
"CityDistrict","Location Place PopulatedPlace Settlement"
"ClassicalMusicArtist","Artist MusicalArtist Person"
"ClassicalMusicComposition","MusicalWork Work"
"Cleric","Person"
"ClericalAdministrativeRegion","AdministrativeRegion Location Place PopulatedPlace Region"
"ClericalOrder","Organisation ReligiousOrganisation"
"ClubMoss","Eukaryote Plant Species"
"Coach","Person"
"CoalPit","Location Mine Place"
"CollectionOfValuables","Work"
"College","EducationalInstitution Organisation University"
"CollegeCoach","Coach Person"
"Colour",""
"Comedian","Artist Person"
"ComedyGroup","Group Organisation"
"Comic","Work WrittenWork"
"ComicStrip","Comic Work WrittenWork"
"ComicsCharacter","FictionalCharacter Person"
"ComicsCreator","Artist Person"
"Community","Location Place PopulatedPlace"
"Company","Organisation"
"Competition","Event PenaltyShootOut"
"ConcentrationCamp","Location Place"
"Congressman","Person Politician"
"Conifer","Eukaryote Plant Species"
"Constellation","CelestialBody Location Place"
"Contest","Competition Event PenaltyShootOut"
"Continent","Location Place PopulatedPlace"
"ControlledDesignationOfOriginWine","Beverage Food Wine"
"Convention","Event PenaltyShootOut SocietalEvent"
"ConveyorSystem","MeanOfTransportation On-SiteTransportation"
"Country","Location Place PopulatedPlace"
"CountrySeat","Location Place"
"Crater","Location NaturalPlace Place"
"Creek","BodyOfWater Location NaturalPlace Place Stream"
"CricketGround","ArchitecturalStructure Location Place SportFacility"
"CricketLeague","Organisation SportsLeague"
"CricketTeam","Organisation SportsTeam"
"Cricketer","Athlete Person"
"Criminal","Person"
"CrossCountrySkier","Athlete Person WinterSportPlayer"
"Crustacean","Animal Eukaryote Species"
